,Player,Team,Number,Position,Height,Weight,Last Attended,Country
78,Matas Buzelis,CHI,14,F,6-10,209 lbs,NBA G League Ignite,USA
79,Jamal Cain,NOP,8,F,6-6,191 lbs,Oakland,USA
80,Kentavious Caldwell-Pope,ORL,5,G,6-5,204 lbs,Georgia,USA
81,Toumani Camara,POR,33,F,6-7,226 lbs,Dayton,Belgium
82,Vlatko Cancar,DEN,31,F,6-8,236 lbs,San Pablo Burgos,Slovenia
83,Clint Capela,ATL,15,C,6-10,256 lbs,Elan Chalon,Switzerland
84,Branden Carlson,TOR,,C,7-0,220 lbs,Utah,USA
85,Carlton Carrington,WAS,17,G,6-6,190 lbs,Pittsburgh,USA
86,Devin Carter,SAC,,G,6-3,195 lbs,Providence,USA
87,Jevon Carter,CHI,5,G,6-1,200 lbs,West Virginia,USA
88,Wendell Carter Jr.,ORL,34,C-F,6-10,270 lbs,Duke,USA
89,DJ Carton,TOR,3,G,6-3,200 lbs,Marquette,USA
90,Alex Caruso,OKC,9,G,6-5,186 lbs,Texas A&M,USA
91,Stephon Castle,SAS,,G,6-6,215 lbs,Connecticut,USA
92,Colin Castleton,LAL,14,C,6-10,250 lbs,Florida,USA
93,Julian Champagnie,SAS,30,F,6-7,217 lbs,St. John's,USA
94,Justin Champagnie,WAS,9,G-F,6-6,206 lbs,Pittsburgh,USA
95,Ulrich Chomche,TOR,,C,6-11,235 lbs,NBA Global Academy,Cameroon
96,Cam Christie,LAC,12,G,6-6,190 lbs,Minnesota,USA
97,Max Christie,LAL,12,G,6-5,190 lbs,Michigan State,USA
98,Josh Christopher,MIA,13,G,6-4,215 lbs,Arizona State,USA
99,Sidy Cissoko,SAS,25,G,6-6,200 lbs,NBA G League Ignite,France
100,Jaylen Clark,MIN,0,G,6-4,205 lbs,UCLA,USA
101,Brandon Clarke,MEM,15,F,6-8,215 lbs,Gonzaga,Canada
102,Jordan Clarkson,UTA,00,G,6-3,194 lbs,Missouri,USA
